辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
論曰：聞所成慧思惟大乘，能令善根界得增長。	Commentary: Contemplating the Mahayana through wisdom gained through hearing can facilitate the growth of the elements of wholesome roots.
思所成慧思惟大乘，能正悟入所聞實義。	Contemplating the Mahayana through wisdom attained through thought can allow true understanding of the real meaning of what is heard.
修所成慧思惟大乘，能令所求事業成滿，謂能趣入修治地故。	Contemplating the Mahayana through wisdom attained through cultivation can enable the achievement of one’s aims, since one can enter onto the [bodhisattva grounds] of spiritual purification.
作意正行有何助伴？	What is associated with correct practice via mental orientation?
頌曰：   此助伴應知，   即十種法行。	The verse reads as follows: The associations with this should be understood; namely, the ten acts of Dharma.
論曰：應知如是作意正行，由十法行之所攝受。	Commentary: It should be understood that correct practice via mental orientation like this is comprised of ten acts of Dharma.
何等名為十種法行？	What are those ten acts of Dharma? The verse reads as follows:
頌曰：   謂書寫、供養、   施他、聽、披讀、   受持、正開演、   諷誦及思、修。	Chapter Seven (1) Copying scriptures, (2) making offerings, (3) generosity to others, (4) listening, (5) reading, (6) care [of texts], (7) proper explanation, (8) recitation, (9) contemplation, and (10) cultivation. Commentary:
論曰：於此大乘有十法行，一書寫、二供養、三施他、四若他誦讀專心諦聽、五自披讀、六受持、七正為他開演文義、八諷誦、九思惟、十修習行。	Here the Mahayana includes ten acts of Dharma: (1) copying scriptures, (2) making offerings, (3) extending generosity toward others, (4) intently listening when others recite, (5) reading [scriptures] by oneself, (6) receiving [and taking care of scriptures], (7) accurately explaining the meaning of passages to others, (8) recitation, (9) contemplation, (10) cultivating practices.
十法行獲幾所福？	How much merit is gained from these ten acts of Dharma?
頌曰：   行十法行者，   獲福聚無量。	The verse reads as follows: For one who practices the ten acts of Dharma, the accumulation of merit they gain is immeasurable.
論曰：修行如是十種法行，所獲福聚其量無邊。	Commentary: The accumulation of merit gained from practicing these ten acts of Dharma is limitless.
何故但於大乘經等說修法行獲最大果，於聲聞乘不如是說？	Why is it only in the Mahayana sutras that the cultivation of practices that gain the greatest results are taught, whereas the śrāvakayāna does not provide such teachings?
頌曰：   勝故、無盡故，   由攝他不息。	The verse reads as follows: For it is supreme and inexhaustible, due to it ceaselessly benefiting others.
論曰：於此大乘修諸法行，由二緣故獲最大果，一最勝故、二無盡故。	Commentary: Cultivation of these acts of Dharma in the Mahayana gains the greatest results for two reasons: (1) because it is supreme and (2) because it is inexhaustible.
由能攝益他諸有情，是故大乘說為最勝。	The Mahayana is said to be supreme because it can confer benefits to other sentient beings.
由雖證得無餘涅槃，利益他事而恒不息，是故大乘說為無盡。	The Mahayana is said to be inexhaustible because although through it one realizes nirvana without remainder, one still ceaselessly benefits others.
如是已說作意正行，隨法正行其相云何？	Having explained correct practice via mental orientation in this manner, what are the characteristics of correct practice in conformity with the Dharma? The verse reads as follows:
頌曰：   隨法行二種，   謂諸無散亂、   無顛倒轉變，   諸菩薩應知。	Practice in conformity with Dharma comprises two types: (1) freedom from distractions, and (2) freedom from cognitive distortion, in which development occurs. Bodhisattvas should understand these. Commentary:
論曰：隨法正行略有二種，一無散亂轉變、二無顛倒轉變，菩薩於此應正了知。 此中六種散亂無故，名無散亂。	Correct practice in conformity with the Dharma includes two types in brief: (1) development free from distraction, (2) development free from cognitive distortion. The bodhisattva here should correctly comprehend that herein “free from distraction” refers to six types of freedom from distraction.
六散亂者，一自性散亂、二外散亂、三內散亂、四相散亂、五麁重散亂、六作意散亂。	The six distractions are: (1) inherent distraction, (2) external distraction, (3) inner distraction, (4) distraction by signs, (5) distraction by debilitations, (6) distraction in relation to mental orientation.
此六種相云何應知？	How should the characteristics of these six types be understood?
頌曰：   出定、於境流、   味沈掉、矯示、   我執、心下劣，   諸智者應知。	The verse reads as follows: The wise should understand these: (1) emergence from meditation, (2) flowing out to objects, (3) indulgence in sinking and excitement, (4) dissimulation, (5) self-attachment, and (6) inferior mental [orientation]. Commentary:
論曰：此中出定由五識身，當知即是自性散亂。 於境流者，馳散外緣，即外散亂。	Herein one should understand that emergence from meditation through the five bodily consciousnesses is “inherent distraction.” “Flowing [out] to an object” means wandering out to an external object, which is external distraction.
味沈掉者，味著等持惛沈掉舉，即內散亂。	“Indulgence [during] sinking and excitement” refers to indulging in the dullness and agitation of meditative concentration, which is inner distraction.
矯示者，即相散亂，矯現相已修定加行故。 我執者，即麁重散亂，由麁重力我慢現行故。	“Dissimulation” is distraction in relation to signs (nimitta), in which one feigns the appearances (“pretends to do”) of applying oneself to meditative cultivation.19 “Self-grasping” refers to the distraction due to debilitation, since it is through the power of debilitation that conceit manifests.
心下劣者，即作意散亂，依下劣乘起作意故。	“Inferior mentality” is distraction in relation to mental orientation, since one orients oneself toward [the aims of] the inferior vehicles (i.e., the practitioner is satisfied with the nirvana of the two Hinayana vehicles).
菩薩於此六散亂相，應遍了知當速除滅。	The bodhisattva should fully comprehend and quickly eliminate these six characteristics of distractions.
如是已說無散亂轉變，無顛倒轉變云何應知？	Having explained development free from distraction in this manner, how should development free from cognitive distortion be understood?
頌曰：   智見於文義，   作意及不動，   二相染淨客，   無怖高無倒。	The verse reads as follows: The absence of cognitive distortion is to be cognized in relation to (1) syllables, (2) objects, (3) mental orientation, (4) immovability, (5) twofold characteristics, (6) defilement, (7) purity, (8) the adventitious, (9) absence of fear, and (10) absence of arrogance. Chapter Seven Commentary:
論曰：依十事中如實智見，應知建立十無倒名。	One should understand that the ten names of freedom from cognitive distortion are established on the basis of the accurate cognition of ten items.
此中云何於文無倒？	What is freedom from cognitive distortion in regard to syllables? The verse reads as follows:
頌曰：   知但由相應、   串習或翻此，   有義及非有，   是於文無倒。	Know that it is from correspondence, consensus, or the reverse of this that meaning exists or not. This is freedom from cognitive distortion with regard to syllables.
論曰：若於諸文能無間斷次第宣唱，說名相應。	When syllables are pronounced in sequence in an uninterrupted manner, this is called correspondence.
共許此名唯目此事，展轉憶念名為串習。	This name is commonly accepted, as in the case of “this thing only refers to an eye,” in which there is successive recollection [of the object]. This is called consensus.
但由此二，成有義文；	It is only from these two that syllable(s) possessing meaning are constituted.
與此相，違文成無義。	If this were not the case, syllables would not constitute any meaning.
如實知見此二文者，應知是名於文無倒。	One who accurately knows these two types of syllables should understand these names in relation to freedom from cognitive distortion with respect to syllables.
於義無倒其相云何？	What are the characteristics of freedom from cognitive distortion with respect to objects?
頌曰：   似二性顯現，   如現實非有，   知離有非有，   是於義無倒。	The verse reads as follows: The manifestation of the appearance of dual nature is in reality nonexistent. Knowing the separation from existence and nonexistence is freedom from cognitive distortion with respect to objects.
論曰：似二性顯現者，謂似所取能取性現，亂識似彼行相生故。	Commentary: The “manifestation of the appearance of dual nature” refers to the appearance of the manifestation of the qualities of grasped and grasper, since the disturbed consciousness seems to produce those modes of appearance.
如現實非有者，謂如所顯現，實不如是有。	“Nonexistent in reality” means that what is manifest is not existent in such a manner in reality.
離有者，謂此義所取能取性非有故。	“Separation from existence” is because the quality of this object as grasped or grasper is nonexistent.
離非有者，謂彼亂識現似有故。	“Separation from nonexistence” is because that disturbed consciousness manifests the appearance of existence.
如實知見此中義者，應知是名於義無倒。	One who accurately knows the meaning herein should understand that this is called freedom from cognitive distortion in relation to objects.
於作意無倒者，頌曰：   於作意無倒，   知彼言熏習，   言作意彼依，   現似二因故。	With respect to freedom from cognitive distortion in regard to mental orientation, the verse reads as follows: With respect to freedom from cognitive distortion in relation to mental orientation, know that that is perfumed by speech. Mental orientation related to speech is a basis, since it is the cause for the appearance of duality.
論曰：所取能取言所熏習名言作意，即此作意是所能取分別所依，是能現似二取因故。	Commentary: Grasped and grasper are perfumed by speech, and this is called mental orientation related to speech. This mental orientation is the basis for discrimination between grasped and grasper, since this is the cause underlying the appearance of the two forms of grasping.
由此作意是戲論想之所熏習名言作意，如實知見此作意者，應知是於作意無倒。	It is because this mental orientation is perfumed by discursive thinking that it is called mental orientation related to speech. One who accurately knows this mental orientation should understand this freedom from cognitive distortion in relation to mental orientation.
於不動無倒者，頌曰：   於不動無倒，   謂知義非有，   非無如幻等，   有無不動故。	With respect to freedom from cognitive distortion based on immovability, the verse reads as follows: Freedom from cognitive distortion based upon immovability means knowing an object is neither existent nor nonexistent, like illusions, etc.; hence, one remains unmoved by existence and nonexistence. Commentary:
論曰：前說諸義離有非有。 此如幻等非有無故。 謂如幻作諸象馬等彼非實有，象馬等性亦非全無，亂識似彼諸象馬等而顯現故。	Earlier it was explained that objects are free from notions of existence and nonexistence, since these are like illusions and so forth, being neither existent nor nonexistent, meaning that they are not really existent, like elephants and horses and so forth created by illusion. The elephants and horses and so forth in nature are also not entirely nonexistent, since the disturbed consciousness creates the appearances of those elephants and horses.
如是諸義無如現似所取能取定實有性亦非全無，亂識似彼所取能取而顯現，故等聲顯示陽焰夢境及水月等，如應當知。	These objects do not exist in the manner in which they appear, as in the case of an [apparently] definitely real existence of grasped and grasper. They are also not entirely nonexistent, since the disturbed consciousness creates the appearances of the grasped and the grasper. “And so forth” refers to things such as mirages, dreams, and the [reflection of the] moon in water, which should be understood accordingly.
以能諦觀義如幻等，於有無品心不動散，如實知見此不動者，應知是於不動無倒。	The mind will remain undistracted with respect to categories of existence and nonexistence when clearly observing objects such as illusions, etc. One who accurately knows this immovability should understand that this is freedom from cognitive distortion in relation to immovability.
於二相無倒者，謂於自相及共相中俱無顛倒。	With respect to freedom from cognitive distortion in relation to twofold characteristics, it refers to being free from cognitive distortion in relation to Chapter Seven both the characteristic of being defined and the shared characteristic.
於自相無倒者，頌曰：   於自相無倒，   知一切唯名，   離一切分別，   依勝義自相。	With respect to freedom from cognitive distortion in relation to defining characteristic, the verse reads as follows: With respect to freedom from cognitive distortion in relation to defining characteristics, knowing that all things exist only by their being named, one is freed from all discrimination. This is based on the defining characteristics from the perspective of the supreme meaning.
論曰：如實知見一切眼色乃至意法皆唯有名，即能對治一切分別，應知是於自相無倒。	Commentary: Accurately cognizing that everything—from the eye to perceived forms, and consciousness to conceptualized phenomena—merely exist based on their being named corrects all discrimination; one should know this as freedom from cognitive distortion in relation to the defining characteristic.
此依勝義自相而說。	This is explained as the defining characteristic on the basis of supreme meaning.
若依世俗非但有名可取，種種差別相故。	In the case of being based on worldly conception, it is not only because things have names that one can grasp onto various distinct characteristics.
於共相無倒者，頌曰：   以離真法界，   無別有一法，   故通達此者，   於共相無倒。	With respect to freedom from cognitive distortion in relation to characteristic of being shared, the verse reads as follows: There is no separate single phenomenon existing apart from real experiential reality, hence one who has realized this is free from cognitive distortions with respect to common characteristics. Commentary:
論曰：以無一法離法無我者故，真法界諸法共相攝。	Phenomena (dharmas) of the real experiential reality (dharma dhātu) possess a common characteristic, since not a single phenomenon exists apart from the absence of self in phenomena.
如實知見此共相者，應知是於共相無倒。	One who accurately knows this characteristic of commonality should know that this is freedom from cognitive distortion in relation to the common characteristic. With respect to freedom from cognitive distortion in relation to defilement and purity.
於染淨無倒者，頌曰：   知顛倒作意，   未滅及已滅，   於法界雜染，   清淨無顛倒。	The verse reads as follows: Know erroneous intentions in relation to whether or not they have been eliminated. The absence of cognitive distortions [determines] defilement and purity in experiential reality.
論曰：若未斷滅顛倒作意，爾時法界說為雜染，已斷滅時說為清淨。	Commentary: When one has not yet eliminated erroneous intentions experiential reality is said to be defiled, whereas when they have been eliminated it is said to be pure.
如實知見此染淨者，如次是於染淨無倒。	One who accurately knows this defilement and purity subsequently becomes free of cognitive distortion in relation to defilement and purity.
於客無倒，其相云何？	What are the characteristics of freedom from cognitive distortion in relation to the adventitious?
頌曰：   知法界本性，   清淨如虛空，   故染淨非主，   是於客無倒。	The verse reads as follows: Know that the original nature of experiential reality is pure like empty space. Hence, defilement and purity are not fundamental. This is freedom from cognitive distortion with respect to the adventitious.
論曰：法界本性淨若虛空，由此應知先染後淨二差別相是客非主。	Commentary: The original nature of experiential reality is pure like empty space. Hence one should understand that the two differing characteristics of being previously defiled and later pure is adventitious and not fundamental.
如實知見此客相者，應知是名於客無倒。	One who accurately knows this adventitious characteristic should understand that this is freedom from cognitive distortion in relation to the adventitious.
於無怖無高俱無顛倒者，頌曰：   有情法無故，   染淨性俱無，   知此無怖高，   是於二無倒。	With respect to freedom from cognitive distortion in relation to the absence of both fear and arrogance, the verse reads as follows: Since beings and phenomena (dharmas) do not exist, the natures of defilement and purity are both nonexistent. Knowing this, one is free from fear and arrogance. This is freedom from cognitive distortion in relation to these two.
論曰：有情及法俱非有故，彼染淨性亦俱非有。	Commentary: Since beings and phenomena are both nonexistent, their natures as either defiled or pure are also both nonexistent.
以染淨義俱不可得，故染淨品無減無增，由此於中無怖無慢。	Since the meanings of both defilement and purity are untenable, their grades of defilement and purity are without inferiority and superiority. As a result of this there is neither fear nor arrogance.
如實知見無怖高者，應知是名於二無倒。	One who accurately knows this absence of fear and arrogance should understand that this is called freedom from cognitive distortion in relation to these two.
無倒行總義者，謂由文無倒，能正通達止觀二相；	Regarding the general meaning of activity free from cognitive distortion, one is able to correctly understand the two characteristics of meditative cessation and observation as a result of freedom from cognitive distortion in relation to syllables.
由義無倒，能正通達諸顛倒相；	One is able to correctly understand the characteristics of cognitive distortion as a result of freedom from cognitive distortion in relation to objects.
由作意無倒，於倒因緣能正遠離；	One is able to properly become freed from the causes and conditions relevant to cognitive distortion as a result of freedom from erroneous orientation [toward the lesser vehicles].
由不動無倒，善取彼相；	One skillfully grasps those Chapter Seven characteristics as a result of freedom from cognitive distortion in relation to being immovable.
由自相無倒，修彼對治無分別道；	One cultivates its antidote, the path of nondiscrimination, as a result of freedom from cognitive distortion in relation to the defining characteristic.
由共相無倒，能正通達本性清淨；	One correctly understands the purity of original nature as a result of freedom from cognitive distortion in relation to the common characteristic.
由染淨無倒，了知未斷及已斷障；	One knows which obstacles have yet to be or have already been eliminated as a result of freedom from cognitive distortion in relation to defilement and purity.
由客無倒，如實了知染淨二相；	One accurately knows the two characteristics of defilement and purity as a result of freedom from cognitive distortion in relation to the adventitious.
由無怖無高二種無倒，諸障斷滅得永出離。	Obstacles are eliminated and one attains permanent liberation as a result of freedom from cognitive distortion in relation to the absence of both fear and arrogance.
此十無倒如次安立於彼十種金剛句中。	These ten freedoms from cognitive distortion are respectively established in relation to the ten adamantine (vajra) phrases.
何等名為十金剛句？ 謂有非有無顛倒。	What are the ten adamantine phrases?
所依幻等喻無分別。 本性清淨雜染清淨。 虛空喻無減無增。	They are (1) existence and nonexistence, (2) freedom from cognitive distortion, (3) the basis, (4) the simile of the illusion, etc., (5) nondiscrimination, (6) the purity of original nature, (7) defilement and purity, (8) the simile of space, (9) the absence of decrease, and (10) the absence of increase.
為攝如是十金剛句，有二頌言：   「應知有非有，   無顛倒所依，   幻等無分別，   本性常清淨，   及雜染清淨，   性淨喻虛空，   無減亦無增，   是十金剛句。	There are two parts that encompass these ten adamantine phrases in this manner. The verses read as follows: One should understand (1) existence and nonexistence, (2) freedom from cognitive distortion, (3) the basis, (4) the similes of the illusion, etc., (5) nondiscrimination, and (6) the constant purity of original nature; as well as (7) defilement and purity, (8) space as a metaphor for purity, (9) the absence of decrease, and (10) the absence of increase. These are the ten adamantine phrases.
」且初安立十金剛句。 自性者，謂自性故、所緣故，無分別故、釋難故。	First, when establishing the ten adamantine phrases, reference is made to intrinsic nature, i.e., in terms of intrinsic nature, objective support, nondiscrimination, and refutation of objections.
自性故者，謂三自性，即圓成實、遍計所執及依他起。	“Intrinsic nature” refers to the three intrinsic natures, i.e., the perfectly accomplished, the conceptualized, and the other-dependent.
是初三句，如次應知。	The first three words should be understood respectively.
所緣故者，即三自性。	“Objective support” refers to the three intrinsic natures.
無分別故者，謂由此無分別，即無分別智； 及於此無分別，即本性清淨。	“Nondiscrimination” refers to nondiscrimination due to this, i.e., nondiscriminating wisdom, as well as nondiscrimination here, i.e., the purity of original nature.
如次應知安立境智，謂三自性及無分別。	The establishment of objects and cognition should be understood respectively, which refers to the three intrinsic natures and nondiscrimination.
釋難故者，謂所餘句。	“Refutation of objections” refers to the remaining phrases.
且有難言：遍計所執、依他起相，若實是無，云何可得？	There is a critique that if the characteristics of the conceptualized and the other-dependent are nonexistent in reality, how would they be apprehendable?
若實是有，不應諸法本性清淨。	If they are existent in reality then phenomena should not be pure in their original nature.
為釋此難，說幻等喻，如幻事等雖實是無而現可得。	In order to refute this criticism, the simile of an illusion and so forth are taught. For instance, although illusory things are nonexistent in reality, they can be seen.
復有難言：若一切法本性清淨，如何得有先染後淨？	There is a further critique that if all phenomena are pure in their original nature, how is it possible to have it that they are first defiled and subsequently purified?
為釋此難，說有染淨及虛空喻，謂如虛空雖本性淨，而有雜染及清淨時。	In order to refute this criticism defilement and purity are explained with reference to the simile of space, e.g., in the way that although space is originally pure there are times when it is defiled or pure.
復有難言：有無量佛出現於世，一一能度無量有情，令出生死入於涅槃。	There is a further critique that states that innumerable buddhas appear in the world, each being capable of liberating innumerable sentient beings, causing them to leave samsara and enter nirvana.
云何生死無斷滅失、涅槃界中無增益過？	What of the error [that suggests] no cessation of samsara and the fault [presuming that] within the state of nirvana there is no increase?
為釋此難，說染及淨無減無增。	In order to refute this criticism defilement and purity are explained with reference to the absence of decrease and increase.
又有情界及清淨品俱無量故。	It is also because the realms of beings and their grades of purity are both innumerable.
第二安立彼自性者，如有頌言：   「亂境自性因，   無亂自性境，   亂無亂二果，   及彼二邊際。	Second, with respect to establishing their intrinsic natures. The verse reads as follows: The object, intrinsic nature and cause of confusion; the intrinsic nature and object of non-error; the two results of error and non-error; and their two extremes.
」如是已說隨法正行。 離二邊正行云何應知？	Having already explained correct practice in conformity with the true Dharma in this manner, how is correct practice free from the two extremes to be understood?
如《寶積經》所說中道行。	It is like the practice of the Middle Way as taught in the Ratnakūṭa-sūtra.
此行遠離何等二邊？ 頌曰：   異性與一性，   外道及聲聞，   增益損減邊，   有情法各二。	What are the two extremes that this practice distantly avoids? The verses read as follows:
所治及能治，   常住與斷滅，   所取能取邊，   染淨二三種。	Chapter Seven Variant nature and same nature; the heterodox (non-Buddhists) and śrāvakas; the extreme views of reification and negation are each twofold with respect to sentient beings and phenomena; that which is corrected and the antidote; permanence and annihilationism; the extreme views of grasped and grasper and defilement and purity, [these] two being of three types; one should understand the additional seven types of discrimination with respect to the natures of dual extremes:
分別二邊性，   應知復有七，   謂有非有邊，   所能寂怖畏，   所能取正邪，   有用并無用，   不起及時等，   是分別二邊。	(1) the extremes of existence and nonexistence, (2) the calmed and the act of calming, (3) the feared and the fear produced from it, (4) grasped and grasper, (5) correctness and error, (6) activity and nonactivity, (7) nonarising and simultaneity. These are the two extremes of discrimination.
論曰：若於色等執我有異、或執是一，名為一邊；	Commentary: If self is grasped as different from form, etc., or it is grasped as identical [to form, etc.], these are respectively called individual extreme views.
為離此執說中道行，謂觀無我乃至儒童，見有我者定起此執，我異於身、或即身故。	The practice of the Middle Way is taught in order to free one from this grasping, meaning that when contemplating not-self up to and including the youth, one who perceives a self will definitely give rise to this grasping, since the self is either different from the body or is the body.20 The heterodox extreme view is grasping to form, etc., as permanently abiding.
若於色等執為常住是外道邊，執無常者是聲聞邊；	Grasping to impermanence is an extreme view of the śrāvakas.
為離此執說中道行，謂觀色等非常無常。	The practice of the Middle Way is taught to [allow the practitioner to] be freed from these kinds of grasping, meaning that when contemplating form, etc. there is neither permanence nor impermanence.
定執有我是增益有情邊，定執無我是損減有情邊，彼亦撥無假有情故；	Firmly grasping to the existence of self is the extreme view in which sentient beings are reified. Firmly grasping to the nonexistence of self is the extreme view in which beings are denied, even their nominal existence.
為離此執說中道行，謂我無我二邊中智。	The practice of the Middle Way is taught in order to free one from this grasping, which is awareness of the middle between the two extreme views of self and not-self.
定執心有實是增益法邊，定執心無實是損減法邊；	Firmly grasping to the mind as being real is the extreme view in which phenomena are reified. Firmly grasping to the mind as being unreal is the extreme view in which phenomena are denied.
為離此執說中道行，謂於是處無心無思無意無識。	The practice of the Middle Way is taught to free the practitioner from this grasping, which means that there is no mind, volition, thought, or consciousness.
執有不善等諸雜染法是所治邊，執有善等諸清淨法是能治邊；	Grasping to the existence of defiled phenomena such as unwholesomeness and so forth is the extreme view regarding that which is corrected. Grasping to the existence of wholesome and other pure phenomena is the extreme view regarding antidotes.
為離此執說中道行，謂於二邊不隨觀說。	The practice of the Middle Way is taught in order to free one from this grasping, meaning there is no following, contemplation, or discussion of the two extremes.
於有情法定執為有是常住邊，定執非有是斷滅邊；	Firmly grasping to the phenomena of sentient beings as existent is the extreme view of permanence. Firmly grasping them as nonexistent is the extreme view of annihilationism.
為離此執說中道行，謂即於此二邊中智。	The practice of the Middle Way is taught to be freed from this grasping, meaning that this is the awareness between the two extreme views.
執有無明所取能取各為一邊，若執有明所取能取各為一邊。	With respect to grasping to the existence of ignorance, the grasped and the grasper each constitute one extreme view. With respect to grasping to the existence of knowledge, the grasped and the grasper each constitute one extreme view.
如是執有所治諸行、能治無為，乃至老死及能滅彼諸對治道所取能取各為一邊。	In this manner, grasping to the existence of the mental formations to be corrected and the unconditioned that corrects—up to old age and death—as well as the corrective paths that can eliminate those as consisting of something grasped and a grasper, each respectively constitutes an extreme view.
此所能治所取能取，即是黑品白品差別。	Here that which is corrected and the antidote, and grasped and grasper, are differentiated into black and white parts.
為離此執說中道行，謂明與無明無二無二分，乃至廣說，明無明等所取能取皆非有故。	The practice of the Middle Way is taught in order to free one from this grasping, meaning that knowledge and ignorance are explained to be nondual, undivided, and so forth, since knowledge and ignorance, etc. with respect to the grasped and the grasper, are all nonexistent.
雜染有三，謂煩惱雜染、業雜染、生雜染。	Defilement comprises three types: the defilements of afflictions, the defilements of karma, and the defilements of birth.
煩惱雜染復有三種：一諸見、二貪瞋癡相、三後有願。	The defilements of afflictions further comprise three types: (1) views; (2) the characteristics of craving, anger, and ignorance; (3) the wish for rebirth.
此能對治，謂空智、無相智、無願智。	The antidotes for these are knowledge of emptiness, knowledge of signlessness, and knowledge of wishlessness.
業雜染，謂所作善惡業。	Defilements of karma refer to wholesome and unwholesome actions that are carried out.
此能對治，謂不作智。	The antidote for these is knowledge of nonaction (i.e., not forming new karma).
生雜染有三種：一後有生、二生已心心所念念起、三後有相續。	Defilements of birth comprise three types: (1) rebirth, (2) successive arising of the mind and mental factors once reborn, (3) the continuity of rebirth.
此能對治，謂無生智、無起智、無自性智。	The antidotes for these are knowledge of the birthless, knowledge of nonarising, and knowledge of the absence of intrinsic nature [across lifetimes].
如是三種雜染除滅，說為清淨。	Chapter Seven In this manner, the elimination of the three types of defilements is called purity.
空等智境，謂空等法。	The sphere of cognition as it relates to emptiness and so forth refers to dharmas such as emptiness.
三種雜染隨其所應，非空等智令作空等，由彼本性是空性等，法界本來性無染故。	The three types of defilements accordingly are not made empty by the knowledge of emptiness, etc. The original nature of experiential reality is without defilement, since its original nature is emptiness, etc.
若於法界或執雜染或執清淨各為一邊，本性無染，非染淨故。	Grasping to defilement or grasping to purity in relation to experiential reality each constitute an extreme view, since their original nature is without defilement and is neither defiled nor pure.
為離此執說中道行，謂不由空能空於法，法性自空，乃至廣說。	The practice of the Middle Way is taught to be freed from this grasping, meaning that it is not a result of emptiness that phenomena are made to be empty, as the nature of phenomena is in itself emptiness.
復有七種分別二邊。	Furthermore, there are seven types of discrimination between dual extremes.
何等為七？	What are the seven?
謂分別有、分別非有各為一邊。	(1) Discriminating existence and discriminating nonexistence each constitute one extreme.
彼執實有補特伽羅以為壞滅，立空性故。 或於無我分別為無為。	These are due to grasping to a real existence of a pudgala (person), believing that it must be destroyed to establish emptiness, or other wise discriminating not-self as unconditioned.
離如是二邊分別說中道行，謂不為滅補特伽羅方立空性，然彼空性本性自空，前際亦空、後際亦空、中際亦空，乃至廣說。	The practice of the Middle Way is taught to free from this sort of discrimination of dual extremes, meaning that emptiness is not established in order to reject the [the notion of] pudgala. The original nature of that emptiness, however, is itself empty; it was also empty in the past, will also be empty in the future, and is also empty in the present.
分別所寂、分別能寂各為一邊。 執有所斷及有能斷，怖畏空故。	(2) Discrimination of something silenced and the act of silencing each constitute an extreme view, since grasping to the existence of something severed and the act of severance is due to fear of emptiness.
為離如是二邊分別，說虛空喻。	The simile of space is taught in order to free one from this sort of differentiation of dual extremes.
分別所怖、分別從彼所生可畏各為一邊。 執有遍計所執色等可生怖故，執有從彼所生苦法可生畏故。	(3) Discrimination of the fearsome and discrimination of fear produced from that each constitute an extreme view, because grasping to the existence of conceptualized forms and so forth can produce fear, and because grasping to the existence of painful phenomena produced from that can produce terror.
為離如是二邊分別，說畫師喻。	The simile of the painter [who was frightened by his own painting] is taught in order to free one from this sort of differentiation of dual extremes.
前虛空喻為聲聞說，今畫師喻為菩薩說。	The former simile of space is taught for śrāvakas. The present simile of the painter is taught for bodhisattvas.
分別所取、分別能取各為一邊。	(4) Discrimination of something grasped and the act of grasping each constitute an extreme view.
為離如是二邊分別，說幻師喻。	The simile of the illusionist is taught in order to free one from this sort of differentiation of dual extremes.
由唯識智無境智生，由無境智生復捨唯識。	Cognition of the nonexistence of object arises due to cognition of consciousness only, and [cognition of] consciousness only is furthermore abandoned due to arising of cognition of the nonexistence of object.
智境既非有，識亦是無，要託所緣識方生故。	Since the cognized object is nonexistent consciousness will also not be existent, since consciousness arises dependent upon the objective support.
由斯所喻與喻同法。	Hence, that to which the simile refers and the simile itself demonstrate similar properties (i.e., the simile properly applies to the actual situation).
分別正性、分別邪性各為一邊。 執如實觀為正為邪，二種性故。	(5) Discrimination of correct nature and discrimination of mistaken nature each constitute an extreme view, since grasping to accurate observation of what is real as either correct or incorrect constitute two types of natures.
為離如是二邊分別，說兩木生火喻。 謂如兩木雖無火相，由相鑽截而能生火，火既生已還燒兩木。	The simile of two pieces of wood producing fire is taught in order to be free from this sort of discrimination of dual extremes, meaning that although the two pieces of wood do not possess the characteristic of fire, by rubbing them together one can produce fire. Having produced fire, it comes to burn both pieces of wood.
此如實觀亦復如是，雖無聖道正性之相，而能發生正性聖慧。 如是正性聖慧生已，復能除遣此如實觀。	This accurate observation is also furthermore like this. Although there is no characteristic of correctness in the noble path it is possible to produce the noble wisdom of correctness; noble wisdom of correctness having been produced in this fashion, it furthermore can do away with this sort of accurate observation.
由斯所喻與喻同法。	Hence, that to which the simile refers and the simile itself demonstrate similar properties.
然如實觀雖無正性相，順正性故亦無邪性相。	With respect to accurate observation, however, although there is no characteristic of correctness, since it is in conformity with correctness there is also no characteristic of falsity.
分別有用、分別無用各為一邊。	(6) Discrimination of activity and nonactivity each constitute an extreme view.
彼執聖智要先分別方能除染，或全無用。	They grasp unto the notion that noble wisdom must first discriminate before it is possible to remove defilements, otherwise they are entirely without activity.
為離如是二邊分別，說初燈喻。	The simile of the first lamp is taught in order to free one from this sort of differentiation of dual extremes.
分別不起、分別時等各為一邊。	(7) Discrimination of nonarising and simultaneity each constitute an extreme view.
彼執能治畢竟不起，或執與染應等時長。	They grasp unto the notion that the antidote ultimately does not arise, or that grasping and defilement should persist for the same length of time.
為離如是二邊分別，說後燈喻。	The simile of the subsequent lamp is taught in order to free one from this sort of differentiation of dual extremes.
如是已說離二邊正行差別。 無差別正行云何？	Chapter Seven Having explained correct practice free from the two extremes, what is correct practice with and without differences?
頌曰：   差別無差別，   應知於十地，   十波羅蜜多，   增上等修集。	The verse reads as follows: Differentiated and undifferentiated should be understood in relation to the ten grounds. The ten perfections [relate to] predomination and equal cultivation.
論曰：於十地中十到彼岸隨一增上而修集者，應知說為差別正行。	Commentary: Each of the ten perfections predominates over one of the ten grounds respectively. One should understand that [when one is] being cultivated, this is called correct practice with differences (i.e., distinct).
於一切地皆等修集布施等十波羅蜜多，如是正行名無差別。	On all the grounds, when everything has been equally cultivated, i.e., the ten perfections such as generosity, etc., this sort of correct practice is called without differences (i.e., indistinct).
