善法經	The Discourse on Wholesome Qualities
爾時，世尊告諸比丘：「一切行無常，不久住法、速變易法、不可猗法，如是諸行不當樂著，當患厭之，當求捨離，當求解脫。所以者何？	At that time the World-honored One addressed the monks: All formations are impermanent, of a nature not to last, quickly changing by nature, unreliable by nature. Thus, one should not delight in or be attached to formations, one should loathe them as troublesome, one should seek to abandon them, one should seek to be free from them. Why is that? 	
有時不雨，當不雨時，一切諸樹、百穀、藥木皆悉枯槁，摧碎滅盡，不得常住。	There will be a time when it will not rain. At that time when it does not rain, all the trees, the hundreds of grains, and all medicinal shrubs will wither entirely, come to destruction and extinction, unable to continue existing.
是故一切行無常，不久住法、速變易法、不可猗法，如是諸行不當樂著，當患厭之，當求捨離，當求解脫。	This is why [I say that] all formations are impermanent, of a nature not to last, quickly changing by nature, unreliable by nature. Thus, one should not delight in or be attached to formations, one should loathe them as troublesome, one should seek to abandon them, one should seek to be free from them.
復次，有時二日出世，二日出時，諸溝渠川流皆悉竭盡，不得常住。	Again, there will be a time when a second sun will appear in the world. When the second sun appears, the flow of all the streams and rivulets will become exhausted, unable to continue existing.
是故一切行無常，不久住法、速變易法、不可猗法，如是諸行不當樂著，當患厭之，當求捨離，當求解脫。	This is why [I say that] all formations are impermanent, of a nature not to last, quickly changing by nature, unreliable by nature. Thus, one should not delight in or be attached to formations, one should loathe them as troublesome, one should seek to abandon them, one should seek to be free from them.
復次，有時三日出世，三日出時，諸大江河皆悉竭盡，不得常住。	Again, there will be a time when a third sun appears in the world. When the third sun appears, all the great rivers will become exhausted, unable to continue existing.
是故一切行無常，不久住法、速變易法，不可猗法，如是諸行不當樂著，當患厭之，當求捨離，當求解脫。	This is why [I say that] all formations are impermanent, of a nature not to last, quickly changing by nature, unreliable by nature. Thus, one should not delight in or be attached to formations, one should loathe them as troublesome, one should seek to abandon them, one should seek to be free from them.
復次，有時四日出世，四日出時，諸大泉源從閻浮洲五河所出：一曰恒伽，二曰搖尤那，三曰舍牢浮，四曰阿夷羅婆提，五曰摩企，彼大泉源皆悉竭盡，不得常住。	Again, there will be a time when a fourth sun appears in the world. When the fourth sun appears, the great springs from which the five rivers of Jambudīpa emerge—the Ganges being the first, the Yamunā the second, the Sarabhū the third, the Aciravatī the fourth, and the Mahī the fifth—those great springs will all become exhausted, unable to continue existing.
是故一切行無常，不久住法、速變易法，不可猗法，如是諸行不當樂著，當患厭之，當求捨離，當求解脫。	This is why [I say that] all formations are impermanent, of a nature not to last, quickly changing by nature, unreliable by nature. Thus, one should not delight in or be attached to formations, one should loathe them as troublesome, one should seek to abandon them, one should seek to be free from them.
復次，有時五日出世，五日出時，大海水減一百由延，轉減乃至七百由延；	Again, there will be a time when a fifth sun appears in the world. When the fifth sun appears, the water of the great ocean will recede by one hundred leagues, and continue receding gradually until it is [only] seven hundred leagues [in extent].
五日出時，海水餘有七百由延，轉減乃至一百由延；五日出時，大海水減一多羅樹，轉減乃至七多羅樹；	When the fifth sun appears, and the remaining water in the ocean is [only] seven hundred leagues [in extent], it will continue receding gradually until it is [only] one hundred leagues [in extent]. When the fifth sun appears, the water of the great ocean will decrease [by the height of] one palm tree, and continue decreasing gradually until it has [a depth of only] seven palm trees.
五日出時，海水餘有七多羅樹，轉減乃至一多羅樹；	When the fifth sun appears and the remaining water in the ocean has [a depth of only] seven palm trees, it will continue decreasing gradually until it has [a depth of only] a single palm tree.
五日出時，海水減一人，轉減乃至七人；	When the fifth sun appears, the water of the great ocean will decrease [by the height of] a person, and continue decreasing gradually until it has [a depth of only] seven persons.
五日出時，海水餘有七人，轉減乃至一人；	When the fifth sun appears and the remaining water in the ocean has [a depth of only] seven persons, it will again decrease gradually until it has [a depth of only] one person.
五日出時，海水減至頸、至肩、至腰、至[月*奇][月*奇]、至膝、至踝，有時海水消盡，不足沒指。	When the fifth sun appears, the water in the ocean will decrease to the level of a person’s neck, to the level of the shoulders, of the waist, of the hips, of the knees, to the level of the ankles, and [eventually] there will be a time when the water of the ocean will be completely exhausted, being not sufficient to submerge [even] one finger.
是故一切行無常，不久住法、速變易法、不可猗法，如是諸行不當樂著，當患厭之，當求捨離，當求解脫。	This is why [I say that] all formations are impermanent, of a nature not to last, quickly changing by nature, unreliable by nature. Thus, one should not delight in or be attached to formations; one should loathe them as troublesome, one should seek to abandon them, one should seek to be free from them.
復次，有時六日出世，六日出時，一切大地須彌山王皆悉烟起，合為一烟，譬如陶師始爨竈時，皆悉烟起，合為一烟。	Again, there will be a time when a sixth sun appears in the world. When the sixth sun appears, the whole great earth, together with Meru, king of mountains, will be totally submerged in smoke, a single mass of smoke.
如是六日出時，一切大地須彌山王皆悉烟起，合為一烟。	Just as a potter’s kiln, at the time of being ignited, is totally submerged in smoke, a single mass of smoke—in the same way, when the sixth sun appears, the whole great earth, together with Meru, king of mountains, will be totally submerged in smoke, a single mass of smoke.
是故一切行無常，不久住法、速變易法，不可猗法，如是諸行不當樂著，當患厭之，當求捨離，當求解脫。	This is why [I say that] all formations are impermanent, of a nature not to last, quickly changing by nature, unreliable by nature. Thus, one should not delight in or be attached to formations, one should loathe them as troublesome, one should seek to abandon them, one should seek to be free from them.
復次，有時七日出世，七日出時，一切大地須彌山王洞燃俱熾，合為一㷿；	Again, there will be a time when a seventh sun appears in the world. When the seventh sun appears, the whole great earth, together with Meru, king of mountains, will be all ablaze, intensely hot, a single mass of flame.
如是七日出時，一切大地須彌山王洞燃俱熾，合為一㷿，風吹火㷿，乃至梵天。	In this way, when the seventh sun appears and the whole great earth, together with Meru, king of mountains, is all ablaze, intensely hot, a single mass of flame, [then] the wind will carry the flames even up to the Brahmā world.
是時，晃昱諸天始生天者，不諳世間成敗，不見世間成敗，不知世間成敗，見大火已，皆恐怖毛竪而作是念：	Then the gods of radiance, who have just been born as gods and have never experienced, seen, or known the world’s [cyclic] creation and destruction, on seeing that great fire will all be terrified, with their hair standing on end, and will think:
『火不來至此耶？火不來至此耶？』	The fire will not reach up to here, will it? The fire will not reach up to here, will it?
前生諸天諳世間成敗，見世間成敗，知世間成敗，見大火已，慰勞諸天曰：『莫得恐怖，火法齊彼，終不至此。』	Those who were born as gods at an earlier time and have experienced, seen, and known the world’s [cyclic] creation and destruction will, on seeing that great fire, calm the distress of those gods, telling them, Don’t be afraid! That fire is of such a nature that it will not reach up to here.
七日出時，須彌山王百由延崩散壞滅盡，二百由延、三百由延，乃至七百由延崩散壞滅盡；	When the seventh sun appears, Meru, king of mountains, will collapse, will be completely destroyed and cease to be, [decreasing in height by] one hundred leagues, two hundred leagues, three hundred leagues, and so on until [decreasing in height by] seven hundred leagues, it will be completely destroyed and cease to be.
七日出時，須彌山王及此大地燒壞消滅，無餘栽燼，如燃酥油，煎熬消盡，無餘烟墨； 如是七日出時，須彌山王及此大地無餘烖燼。	When the seventh sun appears, Meru, king of mountains, together with this great earth, will be burned to destruction and extinction, with not even ash remaining. Just as hot ghee or oil that is cooked or fried until it is completely exhausted and not even smoke or soot remains, in the same way, when the seventh sun appears, Meru, king of mountains, together with the great earth, will be [exhausted] with not even ash remaining.
是故一切行無常，不久住法、速變易法、不可猗法，如是諸行不當樂著，當患厭之，當求捨離，當求解脫。	This is why [I say that] all formations are impermanent, of a nature not to last, quickly changing by nature, unreliable by nature. Thus, one should not delight in or be attached to formations, one should loathe them as troublesome, one should seek to abandon them, one should seek to be free from them.
我今為汝說須彌山王當崩壞盡，誰有能信？唯見諦者耳，我今為汝說大海水當竭消盡，誰有能信？唯見諦者耳。	I have now told you that Meru, king of mountains, will collapse and be completely destroyed. Who can believe this? Only those who have seen the truth. I have now told you that the water of the great ocean will be exhausted and eliminated. Who can believe this? Only those who have seen the truth.
我今為汝說一切大地當燒燃盡，誰有能信？ 唯見諦者耳。	I have now told you that the whole great earth will be burnt up and eliminated. Who can believe this? Only those who have seen the truth.
所以者何？ 比丘！昔有大師名曰善眼，為外道仙人之所師宗，捨離欲愛，得如意足。	Why is that? Monks, in ancient times there was a great teacher called Sunetta. He was the teacher of a school of non-Buddhist seers. Abandoning sensual desire, he had attained the bases of supernormal powers.
善眼大師有無量百千弟子，善眼大師為諸弟子說梵世法，若善眼大師為說梵世法時，諸弟子等有不具足奉行法者，彼命終已，或生四王天，或生三十三天，或生㷿摩天，或生兜率哆天，或生化樂天，或生他化樂天。	The great teacher Sunetta had countless hundreds of thousands of disciples. The great teacher Sunetta gave his disciples teachings about [the way to] the Brahmā world. When the great teacher Sunetta gave teachings about the [way to] the Brahmā world, some of his disciples did not adequately put his teaching into practice. At the end of life, some of them were reborn among the four great kings, some were reborn among the thirty-three gods, some were reborn among the Yama gods, some were reborn among the Tusita gods, some were reborn among the gods who delight in creating, and some were reborn among the gods who delight in the creations of others.
若善眼大師為說梵世法時，諸弟子等設有具足奉行法者，彼修四梵室，捨離於欲，彼命終已，得生梵天。	If, when the great teacher Sunetta gave teachings about the [way to] the Brahmā world, all the disciples had remembered them well, they would have practiced the four divine abodes and, overcoming sensual desire, would, at the end of life, have attained rebirth in the Brahmā world.
彼時善眼大師而作是念：『我不應與弟子等同俱至後世共生一處，我今寧可更修增上慈。』	At that time the great teacher Sunetta had this thought, In my next life I should not be reborn in the same place as my disciples. I would now rather develop and cultivate loving-kindness.
修增上慈已，命終得生晃昱天中。	Having developed and cultivated loving-kindness, at the end of life he attained rebirth among the gods of radiance.
彼時善眼大師則於後時更修增上慈，修增上慈已，命終得生晃昱天中。	At that time, the great teacher Sunetta developed and cultivated loving-kindness, and, having developed and cultivated loving-kindness, at the end of life I attained rebirth among the gods of radiance.
善眼大師及諸弟子學道不虛，得大果報。 	The practice of the path by the great teacher Sunetta and his disciples was not in vain; they obtained great reward.
諸比丘！於意云何？	Monks, what do you think?
昔善眼大師為外道仙人之所師宗，捨離欲愛，得如意足者，汝謂異人耶？	The great teacher in ancient times called Sunetta, who was the teacher of a school of non-Buddhist seers and who, overcoming sensual desire, attained the bases of supernormal powers, do you think this was someone else?
莫作斯念，當知即是我也。	Do not think that. Know that it was me.
我於爾時名善眼大師，為外道仙人之所師宗，捨離欲愛，得如意足；	At that time I was called Sunetta, a great teacher, the leader of a school of non-Buddhist seers. Overcoming sensual desire, I attained supernormal powers.
我於爾時有無量百千弟子，我於爾時為諸弟子說梵世法。	I had countless hundreds of thousands of disciples. I gave my disciples teachings about [the way to] the Brahmā world.
我說梵世法時，諸弟子等有不具足奉行法者，彼命終已，或生四王天，或生三十三天，或生㷿摩天，或生兜率哆天，或生化樂天，或生他化樂天。	When I gave teachings about the [way to] the Brahmā world, not all of my disciples adequately put my teaching into practice. At the end of life, some were reborn among the four great kings, some were reborn among the thirty-three gods, some were reborn among the Yama gods, some were reborn among the Tusita gods, some were reborn among the gods who delight in creating, and some were reborn among the gods who delight in the creations of others.
我說梵世法時，諸弟子等設有具足奉行法者，修四梵室，捨離於欲，彼命終已，得生梵天。	When I gave teachings about the [way to] the Brahmā world, if all of my disciples had put my teaching into practice, they would have developed the four divine abodes and, overcoming sensual desire, at the end of life they would have attained rebirth in the Brahmā world.
我於爾時而作是念：『我不應與弟子等同俱至後世共生一處，我今寧可更修增上慈。』	At that time I had this thought, It is not proper for me to be reborn in the next world in the same realm as my disciples. I would now rather develop and cultivate loving-kindness.
修增上慈已，命終得生晃昱天中。	Having developed and cultivated loving-kindness, at the end of life, I attained rebirth among the gods of radiance.
我於後時更修增上慈，修增上慈已，命終得生晃昱天中。	Later, I developed and cultivated loving-kindness and, having developed and cultivated loving-kindness, at the end of life attained rebirth among the gods of radiance.
我於爾時及諸弟子學道不虛，得大果報。	The practice of the path by me and my disciples was not in vain; we obtained great reward.
我於爾時親行斯道，為自饒益，亦饒益他，饒益多人，愍傷世間，為天、為人求義及饒益，求安隱快樂，爾時說法不至究竟，不究竟白淨，不究竟梵行，不究竟梵行訖，爾時不離生、老、病、死、啼哭、憂慼，亦未能得脫一切苦。	At that time I personally practiced that path, which was of benefit to myself and of benefit to others, benefiting many people, out of compassion for the world, seeking the advantage and benefit of gods and human beings, seeking their peace and happiness. The teaching I gave at that time did not lead to the ultimate, was not the ultimate purity, not the ultimate holy life, not the ultimate completion of the holy life. At that time I was not able to abandon birth, old age, sickness, death, sorrow, and distress. I was not able to attain complete liberation from suffering.
比丘！ 我今出世，如來、無所著、等正覺、明行成為、善逝、世間解、無上士、道法御、天人師，號佛、眾祐；	But now, monks, I have appeared in the world as a Tathāgata, free from attachment, fully awakened, endowed with knowledge and [good] conduct, well gone, a knower of the world, an unsurpassable being, incomparable leader of persons to be tamed, teacher of gods and human beings, called Buddha, protector of the world.
我今自饒益，亦饒益他，饒益多人，愍傷世間，為天、為人求義及饒益，求安隱快樂；	I now benefit myself and benefit others, benefit many people. Out of compassion for the world I seek the advantage and benefit of gods and human beings, seek [their] peace and happiness.
我今說法得至究竟，究竟白淨，究竟梵行；	The teaching I now give leads to the ultimate, is the ultimate purity, the ultimate completion of the holy life.
究竟梵行訖，我今已離生、老、病、死、啼哭、憂慼，我今已得脫一切苦。」	I have now abandoned birth, old age, sickness, death, sorrow, and distress. I have now attained complete liberation from suffering.
佛說如是。彼諸比丘聞佛所說，歡喜奉行。	This is what the Buddha said. Having heard the Buddha’s words, the monks were delighted and remembered them well.

七車經	The Discourse on Seven Chariots 
我聞如是：一時，佛遊王舍城，在竹林精舍，與大比丘眾共受夏坐。	Thus have I heard: At one time the Buddha was staying at Rājagaha, in the Bamboo Grove, together with a great assembly of monks who were spending the rains retreat there. 
尊者滿慈子亦於生地受夏坐。	Venerable Puṇṇa Mantāṇiputta was spending the rains retreat in the [Buddha’s] native region.
是時，生地諸比丘受夏坐訖，過三月已，補治衣竟，攝衣持鉢，從生地出，向王舍城，展轉進前，至王舍城，住王舍城竹林精舍。	Then, a number of monks who had concluded the rains retreat in the [Buddha’s] native region, the three months being over, having mended their robes, they put on their robes, took their bowls, and left the [Buddha’s] native region for Rājagaha. Traveling by stages, they reached Rājagaha, where they went to stay in the Bamboo Grove.
是時，生地諸比丘詣世尊所，稽首作禮，却坐一面。	Then those monks from the [Buddha’s] native region approached the Buddha, paid their respects by bowing down their heads, and sat to one side.
世尊問曰：「諸比丘！從何所來？ 何處夏坐？ 」	The World-honored One asked them: Monks, where have you come from, and in what place did you spend the rains retreat?
生地諸比丘白曰：「世尊！從生地來，於生地夏坐。」	The monks from the [Buddha’s] native region replied: World-honored One, we have come from the [World-honored One’s] native region, having spent the rains retreat there. 
世尊問曰：「於彼生地諸比丘中，何等比丘為諸比丘所共稱譽，自少欲、知足，稱說少欲、知足； 自閑居，稱說閑居； 自精進，稱說精進； 自正念，稱說正念； 自一心，稱說一心；	The World-honored One asked them: Among the monks living in [my] native region, which monk is praised by the other monks [thus]: Having few wishes and being contented himself, he speaks [to others] in praise of having few wishes and being contented; living in seclusion himself, he speaks in praise of living in seclusion; being energetic himself, he speaks in praise of being energetic; having right mindfulness himself, he speaks in praise of right mindfulness; having mental one-pointedness himself, he speaks in praise of mental one-pointedness;
自智慧，稱說智慧； 自漏盡，稱說漏盡； 自勸發渴仰、成就歡喜，稱說勸發渴仰、成就歡喜？」	having wisdom himself, he speaks in praise of wisdom; having himself destroyed the taints, he speaks in praise of destroying the taints; having himself exhorted, inspired, and fully delighted [others], he speaks in praise of exhorting, inspiring, and fully delighting [others]?
生地諸比丘白曰：	The monks from the [Buddha’s] native region replied:
「世尊！尊者滿慈子於彼生地，為諸比丘所共稱譽，自少欲、知足，稱說少欲、知足； 自閑居，稱說閑居； 自精進，稱說精進； 自正念，稱說正念； 自一心，稱說一心；	World-honored One, the monks living in [the World-honored One’s] a native region praise Venerable Puṇṇa Mantāṇiputta [thus]: Having few wishes and being contented himself, he speaks [to others] in praise of having few wishes and being contented; living in seclusion himself, he speaks in praise of living in seclusion; being energetic himself, he speaks in praise of being energetic; having right mindfulness himself, he speaks in praise of right mindfulness; having mental one-pointedness himself, he speaks in praise of mental one-pointedness;
自智慧，稱說智慧； 自漏盡，稱說漏盡； 自勸發渴仰、成就歡喜，稱說勸發渴仰、成就歡喜。」	having wisdom himself, he speaks in praise of wisdom; having himself destroyed the taints, he speaks in praise of destroying the taints; having himself exhorted, inspired, and fully delighted [others], he speaks in praise of exhorting, inspiring, and fully delighting [others].
是時，尊者舍梨子在眾中坐，尊者舍梨子作如是念：「世尊如事問彼生地諸比丘輩，生地諸比丘極大稱譽賢者滿慈子，自少欲、知足，稱說少欲、知足；	At that time, Venerable Sāriputta was seated among the assembly. Then Venerable Sāriputta thought: The World-honored One has questioned those monks from [his] native region about this matter and the monks from [his] native region have given the greatest praise to Venerable Puṇṇa Mantāṇiputta [thus]: Having few wishes and being contented himself, he speaks [to others] in praise of having few wishes and being contented;
自閑居，稱說閑居；自精進，稱說精進； 自正念，稱說正念； 自一心，稱說一心；自智慧，稱說智慧； 自漏盡，稱說漏盡； 自勸發渴仰、成就歡喜，稱說勸發渴仰，成就歡喜。」	living in seclusion himself, he speaks in praise of living in seclusion; being energetic himself, he speaks in praise of being energetic; having right mindfulness himself, he speaks in praise of right mindfulness; having mental one-pointedness himself, he speaks in praise of mental one-pointedness; having wisdom himself, he speaks in praise of wisdom; having himself destroyed the taints, he speaks in praise of destroying the taints; having himself exhorted, inspired, and fully delighted [others], he speaks in praise of exhorting, inspiring, and fully delighting [others].
尊者舍梨子復作是念：「何時當得與賢者滿慈子共聚集會，問其少義，彼或能聽我之所問。」	Venerable Sāriputta thought further: When I get to meet Venerable Puṇṇa Mantāṇiputta, I will ask him a few things. He would probably be competent in understanding [and replying to] my questions.
爾時，世尊於王舍城受夏坐訖，過三月已，補治衣竟，攝衣持鉢，從王舍城出，向舍衛國，展轉進前，至舍衛國，即住勝林給孤獨園。	At that time the World-honored One, who had concluded the rains retreat at Rājagaha, the three months being over, having mended his robes, put on his robes and took his bowl, left Rājagaha for Sāvatthī. Traveling by stages, he reached Sāvatthī, where he went to stay in Jeta’s Grove, Anāthapiṇḍika’s Park.
尊者舍梨子與生地諸比丘於王舍城共住少日，攝衣持鉢，向舍衛國，展轉進前，至舍衛國，共住勝林給孤獨園。	[Meanwhile,] after staying for a few days at Rājagaha, Venerable Sāriputta and the monks [who had come] from the [Buddha’s] native region put on their robes, took their bowls, and left Rājagaha for Sāvatthī. Traveling by stages, they reached Sāvatthī, where they went to stay in Jeta’s Grove, Anāthapiṇḍika’s Park.
是時，尊者滿慈子於生地受夏坐訖，過三月已，補治衣竟，攝衣持鉢，從生地出，向舍衛國，展轉進前，至舍衛國，亦住勝林給孤獨園。	At that time Venerable Puṇṇa Mantāṇiputta, who had concluded the rains retreat in the [Buddha’s] native region, the three months being over, having mended his robes, put on his robes, took his bowl, and left the [Buddha’s] native region for Sāvatthī. Traveling by stages, he reached Sāvatthī, where he went to stay in Jeta’s Grove, Anāthapiṇḍika’s Park.
尊者滿慈子詣世尊所，稽首作禮，於如來前敷尼師檀，結加趺坐。	Venerable Puṇṇa Mantāṇiputta approached the Buddha and paid his respects by bowing down his head. Then he spread his sitting mat [at some distance] in front of the Buddha and sat down cross-legged.
時，尊者舍梨子問餘比丘：「諸賢！何者是賢者滿慈子耶？」	Then Venerable Sāriputta asked some other monks: Venerable friends, is that Venerable Puṇṇa Mantāṇiputta?
諸比丘白尊者舍梨子：「唯然，尊者在如來前坐，白皙隆鼻，如鸚鵡𠿘，即其人也。 」時，尊者舍梨子知滿慈子色貌已，則善記念。	The monks answered Venerable Sāriputta: That is so. The venerable one who is seated in front of the Tathāgata, with fair skin and a prominent nose resembling a parrot’s beak, that is he. Then Venerable Sāriputta, having taken note of Puṇṇa Mantāṇiputta’s facial appearance, retained a clear memory of it.
尊者滿慈子過夜平旦，著衣持鉢，入舍衛國而行乞食，食訖中後，還舉衣鉢，澡洗手足，以尼師檀著於肩上，至安陀林經行之處。	When the night was over, at dawn, Venerable Puṇṇa Mantāṇiputta put on his robes, took his bowl, and entered Sāvatthī to beg for food. After having taken his midday meal, he put away his robes and bowl, washed his hands and feet, put his sitting mat over his shoulder, and went to a place for walking meditation in the Blind Men’s Grove.
尊者舍梨子亦過夜平旦，著衣持鉢，入舍衛國而行乞食，食訖中後，還舉衣鉢，澡洗手足，以尼師檀著於肩上，至安陀林經行之處。	Venerable Sāriputta also, when the night was over, at dawn, put on his robes, took his bowl and entered Sāvatthī to beg for food. After having taken his midday meal, he put away his robes and bowl, washed his hands and feet, put his sitting mat over his shoulder, and went to a place for walking meditation in the Blind Men’s Grove.
時，尊者滿慈子到安陀林，於一樹下敷尼師檀，結加趺坐。	Then, when Venerable Puṇṇa Mantāṇiputta had reached Blind Men’s Grove, he spread his sitting mat beneath a tree and sat down cross-legged.
尊者舍梨子亦至安陀林，離滿慈子不遠，於一樹下敷尼師檀，結加趺坐。	Venerable Sāriputta also, on reaching Blind Men’s Grove, spread his sitting mat beneath a tree not far from Puṇṇa Mantāṇiputta, and sat down crosslegged.
尊者舍梨子則於晡時從燕坐起，往詣尊者滿慈子所，共相問訊，却坐一面，則問尊者滿慈子曰：	In the late afternoon, after rising from sitting in meditation, Venerable Sāriputta approached Venerable Puṇṇa Mantāṇiputta, exchanged friendly greetings, and, sitting down to one side, asked Venerable Puṇṇa Mantāṇiputta:
「賢者！從沙門瞿曇修梵行耶？」	Is the venerable one practicing the holy life under the renunciant Gotama? [Puṇṇa Mantāṇiputta] replied:
答曰：「如是。」	That is so.
「云何？ 賢者！ 以戒淨故，從沙門瞿曇修梵行耶？」	How is it, venerable friend, are you practicing the holy life under the renunciant Gotama for the sake of purification of virtue? [Puṇṇa Mantāṇiputta] replied:
答曰：「不也。」	Not so. 
「以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，從沙門瞿曇修梵行耶？」	Are you practicing the holy life under the renunciant Gotama for the sake of purification of mind… , for the sake of purification of view… , for the sake of purification [from] the hindrance of doubt… , for the sake of purification by knowledge and vision of [what is] the path and [what is] not the path… , for the sake of purification by knowledge and vision of the way… , for the sake of purification by knowledge of the way to abandoning? [To each question Puṇṇa Mantāṇiputta] replied:
答曰：「不也。」	Not so.
又復問曰：「我向問賢者從沙門瞿曇修梵行耶？ 則言如是。	[Sāriputta] asked further: Just before, I asked the venerable one if he is practicing the holy life under the renunciant Gotama, and he said that this is so.
今問賢者以戒淨故從沙門瞿曇修梵行耶？ 便言不也。 以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，從沙門瞿曇修梵行耶？便言不也。然以何義，從沙門瞿曇修梵行耶？ 」	Now I have asked the venerable one if he is practicing the holy life under the renunciant Gotama for the sake of purification of virtue, and he has said Not so. [I have also asked the venerable one if] he is practicing the holy life under the renunciant Gotama for the sake of purification of mind… , for the sake of purification of view… , for the sake of purification [from] the hindrance of doubt… , for the sake of purification by knowledge and vision of [what is] the path and [what is] not the path… , for the sake of purification by knowledge and vision of the way… , for the sake of purification by knowledge of the way to abandoning; and [to each question] he has said, Not so. In that case, for the sake of what are you practicing the holy life under the renunciant Gotama?
答曰：「賢者！ 以無餘涅槃故。」	[Puṇṇa Mantāṇiputta] replied: Venerable friend, for the sake of nirvana without remainder. 
又復問曰：「云何？賢者！ 以戒淨故，沙門瞿曇施設無餘涅槃耶？ 」	[Sāriputta] asked further: How is it, then, venerable friend? Is it for the sake of purification of virtue that the renunciant Gotama designates nirvana without remainder? 
答曰：「不也。」	[Puṇṇa Mantāṇiputta] replied: Not so. 
「以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，沙門瞿曇施設無餘涅槃耶？」	[Sāriputta asked further]: Is it for the sake of purification of mind… , for the sake of purification of view… , for the sake of purification [from] the hindrance of doubt… , for the sake of purification by knowledge and vision of [what is] the path and [what is] not the path… , for the sake of purification by knowledge and vision of the way… , for the sake of purification by knowledge of the way to abandoning that the renunciant Gotama designates nirvana without remainder?
答曰：「不也。 」	[Puṇṇa Mantāṇiputta] replied: Not so.
又復問曰：「我向問仁，云何賢者以戒淨故，沙門瞿曇施設無餘涅槃耶？賢者言不。以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，沙門瞿曇施設無餘涅槃耶？ 賢者言不。 賢者所說為是何義？云何得知？」	[Sāriputta] asked again: Just now, I asked the venerable one if it is for the sake of purification of virtue that the renunciant Gotama designates nirvana without remainder, and he replied Not so. [And I asked] is it for the sake of purification of mind… , for the sake of purification of view… , for the sake of purification [from] the hindrance of doubt… , for the sake of purification by knowledge and vision of [what is] the path and [what is] not the path… , for the sake of purification by knowledge and vision of the way [of practice]… , for the sake of purification by knowledge of the way to abandoning, that the renunciant Gotama designates nirvana without remainder; and [to each question] the venerable one has replied Not so. What is the meaning of what the venerable one has said? How can one come to understand it?	
答曰：「賢者！若以戒淨故，世尊沙門瞿曇施設無餘涅槃者，則以有餘稱說無餘	[Puṇṇa Mantāṇiputta] replied: Venerable friend, if the World-honored One, the renunciant Gotama, were to designate nirvana without remainder for the sake of purification of virtue, then that would be to praise what is with a remainder [of clinging] as being without a remainder [of clinging].
以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，世尊沙門瞿曇施設無餘涅槃者，則以有餘稱說無餘。	If the World-honored One, the renunciant Gotama, were to designate nirvana without remainder for the sake of purification of mind… , for the sake of purification of view… , for the sake of purification [from] the hindrance of doubt… , for the sake of purification by knowledge and vision of [what is] the path and [what is] not the path… , for the sake of purification by knowledge and vision of the way… , for the sake of purification by knowledge of the way to abandoning, then that would be to praise what is with a remainder [of clinging] as being without a remainder [of clinging].
賢者！若離此法，世尊施設無餘涅槃者，則凡夫亦當般涅槃，以凡夫亦離此法故。	[On the other hand,] venerable friend, if the World-honored One were to designate nirvana without remainder apart from these things, then a worldling should also [be able to attain] nirvana without remainder, because a worldling is also apart from these things.
賢者！ 但以戒淨故，得心淨，以心淨故，得見淨，以見淨故，得疑蓋淨，以疑葢淨故，得道非道知見淨，以道非道知見淨故，得道跡知見淨，以道跡知見淨故，得道跡斷智淨，以道跡斷智淨故，世尊沙門瞿曇施設無餘涅槃也。 	Rather, venerable friend, [it is] through purification of virtue, [that] one attains purification of mind; through purification of mind, one attains purification of view; through purification of view, one attains purification [from] the hindrance of doubt; through purification [from] the hindrance of doubt, one attains purification by knowledge and vision of [what is] the path and [what is] not the path; through purification by knowledge and vision of [what is] the path and [what is] not the path, one attains purification by knowledge and vision of the way; through purification by knowledge and vision of the way, one attains purification by knowledge of the way to abandoning; through purification by knowledge of the way of abandoning, the World-honored One, the renunciant Gotama, designates nirvana without remainder.
賢者！復聽。	Venerable friend, listen further.
昔拘薩羅王波斯匿在舍衛國，於婆雞帝有事，彼作是念：『以何方便，令一日行，從舍衛國至婆雞帝耶？ 』	Once King Pasenadi of Kosala was in Sāvatthī and had some matter [to attend to] in Sāketa. He thought, Using what expedient means can I reach Sāketa from Sāvatthī in a single day’s journey? 
復作是念：『我今寧可從舍衛國至婆雞帝，於其中間布置七車。』爾時，即從舍衛國至婆雞帝，於其中間布置七車。	He further thought, I shall now have seven chariots arranged [along the road] from Sāvatthī to Sāketa. So, he had seven chariots arranged [along the road] from Sāvatthī to Sāketa.
