大般涅槃經卷第一北涼天竺三藏曇無讖譯壽命品第
一如是我聞：	Thus have I heard.
佛如優曇花， 值遇生信難， 遇已種善根， 永離餓鬼苦， 亦復能損減， 阿修羅種類。	A buddha is like an udumbara flower, To encounter one and have faith is so difficult. Yet when there is that encounter, good roots are planted, Freeing one forever from the sufferings of the hungry ghost. And also effectively reducing Those born as asuras.
芥子投針鋒， 佛出難於是， 我以具足檀， 度人天生死。	Tossing a mustard seed on to the tip of a needle, Is not as difficult as a buddha appearing in the world. By completing the [perfection of] charity, I cross beyond the samsara of humans and gods.
佛不染世法， 如蓮花處水， 善斷有頂種， 永度生死流。	Not stained by mundane things (lokadharma), The Buddha is like a lotus flower standing in [muddy] water. Appropriately cutting off the seeds for even the highest birth, Crossing the stream of birth and death, forever.
生世為人難， 值佛世亦難， 猶如大海中， 盲龜遇浮孔。	To be born in this world as a human is difficult. To meet a buddha in this world is yet more difficult. It is like a blind turtle in the middle of the ocean, Finding a floating board with a hole [to put his head through]!
我今所奉食， 願得無上報， 一切煩惱結， 摧破不堅牢。	With this food that I have now offered, I hope to obtain the ultimate reward: May the fetters of all the defilements Be destroyed, never to grow strong again.
我今於此處， 不求天人身， 設使得之者， 心亦不甘樂。	As I stand here now, I do not seek a heavenly body. Even if I were to attain one, My heart would be unwilling to enjoy it.
如來受我供， 歡喜無有量， 猶如伊蘭花， 出於栴檀香。	For the Tathagata has accepted my offerings Such joy immeasurable! It is like the [foul-smelling] eranda flower Producing the fragrance of sandalwood.
我身如伊蘭， 如來受我供， 如出栴檀香， 是故我歡喜。	My body is like the eranda The Tathagata, who accepts my offering, Is like the wafting sandalwood fragrance.
我今得現報， 最勝上妙處， 釋梵諸天等， 悉來供養我。	This is why I am overjoyed, For here in this life, I have attained the most exalted reward. The gods Indra and Brahma, Come to make offerings to me!
一切諸世間， 悉生諸苦惱， 以知佛世尊， 欲入於涅槃。	Yet the entire world is distressed For they know the World-honored Buddha Is about to enter nirvana.
高聲唱是言， 世間無調御， 不應捨眾生， 應視如一子。	In a loud voice they cry: Imagine the world bereft of its lord and protector! Lord, do not abandon us living beings Look upon us as if we were your only son!
如來在僧中， 演說無上法， 如須彌寶山， 安處于大海。	When the Tathagata is among the sangha, Expounding the unsurpassed dharma, He is like a jeweled Mount Sumeru, Standing amid oceans.
佛智能善斷， 我等無明闇， 猶如虛空中， 起雲得清涼。	The Buddha's wisdom can effectively cut Through the darkness of our ignorance: When clouds cover the sky, It can get freezing cold,
如來能善除， 一切諸煩惱， 猶如日出時， 除雲光普照。	 But the Tathagata can effectively eliminate All our defilements, Just like the sun coming out Disperses the clouds and illuminates everything.
是諸眾生等， 啼泣面目腫， 悉皆為生死， 苦水之所漂。	These living beings Howl and cry, their faces swollen. As everyone drifts On the cruel waters of birth and death.
以是故世尊， 應長眾生信， 為斷生死苦， 久住於世間。」	For this reason, World-Honored One, To extend the faith of living beings And cut away their pain in samsara, You must remain long in this world!
佛告純陀：「如是如是，如汝所說。	The Buddha then said to Cunda: Just so, just so! Just as you have explained, the appearance of a buddha in the world is as rare as the udumbara flower.
佛出世難如優曇花，值佛生信亦復甚難，佛臨涅槃最後施食，能具足檀復倍甚難。	Meeting a buddha and having faith [in him] is also extremely difficult and rare. But providing the final offering of alms just as this buddha is facing nirvana-and thereby accomplishing the perfection of the practice of charity-is even more difficult and rare.
汝今純陀！莫大愁苦，應生踊躍，喜自慶幸，得值最後供養如來，成就具足檀波羅蜜，不應請佛久住於世。	Now Cunda, do not lament or grieve. Rather, you should be dancing with joy, rejoicing in your blessings to have been able to encounter this opportunity to present the final offering to a Tathagata, and therein complete the perfection of charity. You should not be asking the Buddha to remain any longer in the world.
汝今當觀諸佛境界，悉皆無常，諸行性相，亦復如是。	Instead you should contemplate the fact that everything in the realm where a buddha [operates] is impermanent, and that the characteristics of the nature of all conditioned phenomena are just like this as well.
即為純陀而說偈言： 「一切諸世間， 生者皆歸死， 壽命雖無量， 要必當有盡。	He then spoke to Cunda in verse: In every world What is born returns to death. Individual lifetimes, though uncountable in number, Must inevitably face their exhaustion. 
夫盛必有衰， 合會有別離， 壯年不久停， 盛色病所侵， 命為死所吞， 無有法常者。	Whatever flourishes will inevitably weaken. Any assembly has its dispersal. The prime of life stops before long. The beautiful flush of youth will be corrupted by illness. Life is swallowed by death. For there is no phenomenon that is permanent.
諸王得自在， 勢力無等雙， 一切皆遷動， 壽命亦如是。	Kings may [reign] as they please, With power unmatched, But everything undergoes change. A lifetime is also like this:
眾苦輪無際， 流轉無休息， 三界皆無常， 諸有無有樂。	A wheel of suffering, limitless In its transmigration, with nary a rest. In the triple world all is impermanent, All existence is without pleasure.
有道本性相， 一切皆空無， 可壞法流轉， 常有憂患等。	The original nature and characteristics of these paths of existence Are empty throughout. All these perishable dharmas flowing in and out, Eternally saddled with grief.
恐怖諸過惡， 老病死衰惱， 是諸無有邊， 易壞怨所侵。	The harmful errors of fear, The anxiety of aging, illness, death, and debilitation, These have no limit. [Health] is easily broken,[hearts] are invaded by resentment,
煩惱所纏裹， 猶如蠶處繭， 何有智慧者， 而當樂是處？	 Wrapped in defilements, [living beings] are Like silkworms inside their cocoons. What person of wisdom Would find pleasure in such a state?
此身苦所集， 一切皆不淨， 扼縛癰瘡等， 根本無義利。	This body, where pain and suffering is collected, Where everything is impure, Confined, subj ect to ulcers, and more, It is fundamentally without value.
上至諸天身， 皆亦復如是， 諸欲皆無常， 故我不貪著。	Even up through the bodies of those in the highest heavens, It is exactly the same. All desire is impermanent, So to the self one does not cling (sanga).
離欲善思惟， 而證於真實， 究竟斷有者， 今日當涅槃。	Freed of desire, with proper thinking One thus realizes Truth (moksa). Having completely cut all ties to [the great flow of] existence, Today will be my parinirvana.
我度有彼岸， 已得過諸苦， 是故於今者， 純受上妙樂。	When I crossed over to the other shore of existence, I went beyond all forms of suffering. For this reason, it is now That I graciously accept the wondrous bliss [of nirvana].
以是因緣故， 證無戲論邊， 永斷諸纏縛， 今日入涅槃。	By means of this causality I realize what is beyond all frivolous discourse, And cut off the binds of illusion, forever.
我無老病死， 壽命不可盡， 我今入涅槃， 猶如大火滅。	Today I enter nirvana There is no aging, illness, or death for me, For my lifespan cannot be exhausted. I now enter nirvana. Like the burning out of a great flame.
純陀汝不應， 思量如來義， 當觀如來住， 猶如須彌山。	Cunda, you should not speculate On the meaning of the Tathagata's [parinirvana]. Contemplate the Tathagata's abiding presence Like Mount Sumeru.
我今入涅槃， 受於第一樂， 諸佛法如是， 不應復啼哭。」	I now enter nirvana Acceding to the highest bliss. Thus is the nature of buddhas, You should weep no longer.
爾時純陀白佛言：	Then Cunda spoke to the Buddha, saying:
「世尊！如是如是，誠如聖教。	 World-Honored One. Just so, just so! Truly your sacred teaching is just as you say.
我今所有智慧微淺猶如蚊虻，何能思議如來涅槃深奧之義？ 世尊！	The wisdom I now possess is so trifling as to be nothing more than [that of] a mosquito or gnat-how could I ever conceive of c the deep, profound reasons for the Tathagata's nirvana? Ah, World Honored One!
我今已與諸大龍象菩薩摩訶薩，斷諸結漏文殊師利法王子等。 世尊！	Now, it may be that along with the bodhisattva-mahasattvas, like great dragons and elephants, I have now done away with the contaminants and stand equal to Manjusri, the dharma Prince.
譬如幼年初得出家，雖未受具即墮僧數。	But, World-Honored One, my case is like the example of a youth when he first enters the order: though he has yet to receive full ordination he is considered to be a member of a sangha.
我亦如是，以佛菩薩神通力故，得在如是大菩薩數。	It is only by means of the supernatural powers of the Buddha and the bodhisattvas that I have attained the position of being counted among these great bodhisattvas.
是故我今，欲令如來，久住於世，不入涅槃。	This is why I now want to have the Tathagata stay in the world for a long time without entering nirvana.
譬如飢人，終無變吐； 願使世尊亦復如是，常住於世，不入涅槃。」	Like a starving man with nothing left even to vomit, I still somehow hope to make the World-Honored One remain in this world forever, never to enter nirvana.
爾時文殊師利法王子告純陀言：	At that time Manjusri, the Dharma Prince, addressed Cunda:
「純陀！汝今不應發如是言，欲使如來常住於世，不般涅槃，如彼飢人無所變吐。	You should not speak in that way, trying to make the Tathagata stay in the world forever and so preventing his parinirvana, acting like a man so hungry he has nothing even to vomit. Instead you should be contemplating the nature and characteristics of all conditioned phenomena.
汝今當觀諸行性相，如是觀行具空三昧，欲求正法應如是學。」	Contemplate conditioned phenomena in this way and you will come to have a samadhi of emptiness. If you are seeking the true-dharma, you should apply yourself in this way.
純陀問言：	Cunda then asked:
「文殊師利！夫如來者，天上人中最尊最勝，如是如來，豈是行耶？ 若是行者，為生滅法。	Manjusri, the Tathagata is the most esteemed, most exalted one in the heavens and on earth. So how is it that the Tathagata is something conditioned?
譬如水泡，速起速滅，往來流轉，猶如車輪，一切諸行亦復如是。	If he were conditioned, he would be a dharma that arises and perishes, comparable to water bubbles that quickly arise and just as quickly disappear. The revolving cycle of going and coming [among conditioned phenomena] turns round and round like a wagon wheel. Everything conditioned follows the same pattern in this sense.
我聞諸天，壽命極長，云何世尊是天中天，壽命更促不滿百年？	I have heard that the lifetimes of the gods in the heavens are extremely long. How is it that the World-Honored One is said to be a god among gods, yet he ages so quickly, his lifetime lasting not even a hundred years?
如聚落主，勢得自在，以自在力，能制他人，是人福盡，其後貧賤，人所輕蔑，為他策使。	Think of the analogy of a village chieftain whose authority brings him freedom but who uses his power to oppress others. When his good fortune has run out, he will then be poor and miserable, disdained by the community and exploited by others.
所以者何？	Why does this happen?
失勢力故。	Because he has lost his power.
世尊亦爾，同於諸行，同諸行者，則不得稱為天中天。 何以故？	Could the World-Honored One be similarly the same as conditioned phenomena? If he were the same as conditioned phenomena, then he would not be called a god among gods. Why?
諸行即是生死法故。	Because everything conditioned is just a samsaric phenomenon.
是故文殊！ 勿觀如來同於諸行。	Therefore, Manjusri, do not consider the Tathagata to be the same as all the conditioned phenomena.
「復次文殊！為知而說、不知而說，而言如來同於諸行？	In addition, Manjusri, are you saying the Tathagata is the same as conditioned phenomena based on what you know, or are you saying this without really knowing?
設使如來同諸行者，則不得言於三界中，為天中天、自在法王。	If the Tathagata were the same as all conditioned phenomena, then he would not be deserving of the appellation, God Among Gods, Unencumbered Dharma King in the triple world.
譬如人王，有大力士，其力當千，更無有能降伏之者，故稱此人一人當千。 如是力士，王所愛念，偏賜爵祿，封賞自然。	Consider the analogy of a monarch who has a very powerful warrior. This man has the strength of a thousand men and there is no one who can defeat him, so they call him a man equal to a thousand. Cherished by the king, he is rewarded handsomely with nobility and emolument.
所以得稱當千人者，是人未必力敵於千，但以種種伎藝所能能勝千故，故稱當千。	The reason they call him equal to a thousand is not because his strength necessarily competes with that of a thousand people, but because he is able to defeat a thousand men by means of his various skills and techniques, both active and passive. This is why he is said to be equal to a thousand.
如來亦爾，降煩惱魔、陰魔、天魔、死魔，是故如來名三界尊，如彼力士一人當千。	The Tathagata is also like this. He defeats the demons that are the defilement-mara, the aggregate-mara, the heavenly maras, and the mara a of death. The Tathagata is therefore called Lord of the Triple World. Similar to that powerful warrior who is called a man equal to a thousand. By means of causal factors like these he is accomplished in various and uncountable genuine virtues.
以是因緣，成就具足種種無量真實功德，故稱如來、應、正遍知。 文殊師利！ 汝今不應憶想分別，以如來法同於諸行。	That is why he is called Thus Come, Worthy of Offerings, Perfectly Enlightened. Manjusri, you should avoid the conceptual aberration that regards the dharma of the Tathagata as equivalent to conditioned phenomena.
譬如巨富長者生子，相師占之有短壽相。	What if there were a very rich man who produced a son but then learned from the divination of a fortune-teller that the son's life will be short.
父母聞已，知其不任紹繼家嗣，不復愛重，視如芻草。	Upon hearing this, the father and mother would understand that the son could not be designated the inheritor of the family estate.
夫短壽者，不為沙門、婆羅門等男女大小之所敬念。	They would lose their affectionate attachment to him, seeing him as if he were but grass, for a short life span is not respected by mendicants, brahmans, men, or women, whether adults or children.
若使如來同諸行者，亦復不為一切世間人天眾生之所奉敬，如來所說不變、不異、真實之法亦無受者。	If one were to say the Tathagata is identical to other conditioned phenomena, then he, too, would not be respected by humans, gods, or living beings in any world. The unchanging, undifferentiated true teaching that the Tathagata has expounded for us would not be accepted as well.
是故文殊！ 不應說言如來同於一切諸行。 「復次文殊！	This is why, Manjusri, you should not preach that the Tathagata's [existence] is identical to any form of conditioned phenomena.
譬如貧女，無有居家救護之者，加復病苦飢渴所逼，遊行乞丐，止他客舍，	In addition, Manjusri, consider the parable of a destitute woman with no place to stay and no one to take care of her, who also suffers from illness and is racked with hunger and thirst. Roaming about begging, she ends up staying in a house belonging to someone else. 
寄生一子，是客舍主驅逐令去。其產未久，携抱是兒，欲至他國。	There she gives birth to a child but when the master of the house [returns], he throws her out, forcing her to go away.So not long after giving birth she must carry her newborn in hopes of reaching another land.
於其中路，遇惡風雨，寒苦並至，多為蚊虻、蜂螫、毒蟲之所唼食，經由恒河，抱兒而度，其水漂疾而不放捨，於是母子遂共俱沒。	On the road she encounters a bad storm, bitter cold, and is stung by a host of mosquitoes, horseflies, and bees, and bitten by poisonous insects as well. Her journey brings her to the Ganges River, which she attempts to cross while holding her infant. [Trying to get her child to the other side,] no matter how swift the current, she will not let go; but in the end mother and child both drown.
如是女人慈念功德，命終之後，生於梵天。	This woman creates extraordinary merit in her compassion [toward her child], and after her life ends she is reborn in a Brahma heaven.
文殊師利！ 若有善男子欲護正法，勿說如來同於諸行、不同諸行！	Manjusri, if there is a good man who wants to protect the true-dharma, he should neither say that the Tathagata is the same as conditioned phenomena nor that he is not the same as conditioned phenomena.
唯當自責，我今愚癡，未有慧眼，如來正法不可思議。	What he should do is reproach himself with  am ignorant and do not yet have the eye of wisdom. The true-dharma of the Tathagata is inconceivable.
是故不應宣說，如來定是有為、定是無為。	Therefore it is improper to proclaim that the Tathagata is definitely created (samskrta) or definitely uncreated (asamskrta).
若正見者，應說如來定是無為。	But if there were a correct viewpoint in this, it would be most appropriate to say the Tathagata is definitely uncreated.
何以故？ 能為眾生生善法故、生憐愍故。 如彼貧女在於恒河，為愛念子而捨身命。 善男子！	Because for the sake of living beings he generates the good dharma and because he generates kindness, like the poor woman who sacrifices her own life in the Ganges out of love for her child.
護法菩薩亦應如是，寧捨身命，不說如來同於有為，當言如來同於無為。	Good man, bodhisattvas who protect the dharma should also do likewise. It would be better to throw away your life than to preach that the Tathagata is the same as created phenomena. You should instead say that the Tathagata is the same as that which is uncreated.
以說如來同無為故，得阿耨多羅三藐三菩提，如彼女人得生梵天。 何以故？	By preaching that the Tathagata is identical to the uncreated, you will attain anuttara-samyak-sambodhi. just like that woman attained birth in the Brahma Heaven.
以護法故。云何護法？	Because you would then be protecting the dharma.Precisely what is protecting the dharma?
所謂說言如來同於無為。	It is what am speaking about: preaching that the Tathagata is identical to the uncreated.
善男子！ 如是之人雖不求解脫，解脫自至； 如彼貧女，不求梵天，梵天自至。 文殊師利！	Good man, a person who does this will attain liberation even if he does not seek liberation, just as that the destitute woman attained the Brahma Heaven even though she did not seek the Brahma Heaven.
如人遠行，中路疲極，寄止他舍，臥寐之中，其室忽然大火卒起，即時驚寤，尋自思惟：『我於今者定死不疑。 』具慚愧故，以衣纏身，即便命終，生忉利天。	Manjusri, it is like someone traveling on a remote road who becomes exhausted and takes lodging in an unknown inn. While lying asleep, his room is suddenly engulfed in enormous flames. Suddenly startled from sleep, he immediately thinks No doubt I will surely die now. Filled with shame, he covers his body with his robes and presently dies, and is then reborn in the Trayastrimsa Heaven.
從是已後，滿八十返作大梵王，滿百千世生於人中為轉輪王，是人不復生三惡趣，展轉常生安樂之處。	After eighty more rebirths there, he becomes a Mahabrahma king, and after a hundred thousand lifetimes he is reborn as a wheel-turning sacred king (cakravartin). Never having to experience birth in any of the three unfortunate destinies (of hells, animals, and hungry ghosts), he is always born into a place of peace and happiness.
以是緣故，文殊師利！ 若善男子有慚愧者，不應觀佛同於諸行。 文殊師利！	For this reason, Manjusri, if there is a good man who feels shame [about his spiritual attainments], he must not identify the Buddha as one of the conditioned phenomena.
外道邪見可說如來同於有為，持戒比丘不應如是，於如來所生有為想。	Manjusri, the false views of a heretic may dictate that the Tathagata is identical to created phenomena, but a bhiksu who keeps the precepts should not conjecture that the identity of the Tathagata is created.
若言如來是有為者，即是妄語；	If one states that the Tathagata is created, that would be tantamount to lying.
當知是人死入地獄，如人自處於己舍宅。 文殊師利！	You should understand that such a person enters hell after he dies, just as if he were standing in his own house.
如來真實是無為法，不應復言是有為也。	Manjusri, the Tathagata is truly an uncreated dharma You should no longer say otherwise.
汝從今日於生死中，應捨無智，求於正智，當知如來即是無為。	From this day forth, while in samsara you must abandon your ignorance and seek correct wisdom, understanding that the Tathagata is indeed uncreated.
若能如是觀如來者，具足當得三十二相，速疾成就阿耨多羅三藐三菩提。」	If you can perceive the Tathagata in this way, you will become fully endowed with the thirty-two special marks [of an enlightened being] and quickly attain anuttara-samyak-sambodhi.
爾時文殊師利法王子讚純陀言：「善哉，善哉！	Then Manjusri, the Dharma Prince, praised Cunda:
善男子！	Excellent!
汝今已作長壽因緣，能知如來是常住法、不變異法、無為之法。	Excellent! Good man, you have now created the karmic conditions for a long life, fully understanding that the Tathagata is a permanently abiding dharma, an unchanging dharma, and an uncreated dharma.
汝今如是善覆如來有為之相，如彼火人，為慚愧故以衣覆身，以是善心生忉利天，復為梵王、轉輪聖王，不至惡趣，常受安樂。	In this way you have now successfully overturned the [notion of] the Tathagata as having the characteristics of that which is created. Your act is like the man exposed to fire who threw his robe over his body because he felt ashamed and who, by means of this exemplary state of mind, was reborn in the Trayastrimsa Heaven, again as Mahabrahma, and again as a wheel-turning sacred king, never again going into the lower realms of existence, always receiving births of peace and happiness.
汝亦如是，善覆如來有為相故，於未來世必定當得三十二相、八十種好、十八不共法、無量壽命，不在生死、常受安樂，不久得成應、正遍知。	Because you are also like him in the excellent way you have overturned the notion of the Tathagata as having the characteristics of created existences, in the future you will most assuredly attain the thirty-two major and eighty minor marks, as well as the eighteen distinctive characteristics of a buddha.! With an immeasurably long life, you will no longer experience the cycle of birth and death as such, but will remain in a state of peace and happiness, from which you will attain arhatship and full enlightenment before long.
純陀！ 如來次後自當廣說，我之與汝，俱亦當覆如來有為。	Cunda, the Tathagata presently will elaborate this point in detail and together you and I shall overturn the notion of the Tathagata as created.
有為、無為且共置之，汝可隨時速施飯食，如是施者，諸施中最。	So let us put aside this issue of created and uncreated for the moment. But you should serve food quickly when the situation requires it. Charity such as this is the best among all types of charity.
若比丘、比丘尼、優婆塞、優婆夷，遠行疲極，所須之物，應當清淨，隨時給與。	For these monks, nuns, laymen, and laywomen are exhausted from their long journey. They require something clean and pure and you should try to provide this as needed.
如是速施，即是具足檀波羅蜜根本種子。	Responding quickly with charity like this is the fundamental seed of completing the perfection of charity.
純陀！若有最後施佛及僧，若多、若少、若足、不足，宜速及時，如來正爾當般涅槃。」	Cunda, as you are the last one to provide alms for the Buddha and the sangha, whatever it is you give, be it plentiful, trivial, adequate, or inadequate, do try to be quick about it. For the Tathagata is just about to assume parinirvana.
純陀答言：	Cunda then responded:
「文殊師利！汝今何故，貪為此食，而言多少、足與不足，令我時施？	Manjusri, why are you obsessed with this meal-talking about the food being plentiful or trivial, adequate or inadequate, and making sure that I provide things on time?
文殊師利！如來昔日苦行六年，尚自支持，況於今日須臾間耶？	Manjusri, in the olden days the Tathagata underwent asceticism for six years and yet sustained himself. Why wouldn't he be able to endure for a few more moments today?
文殊師利！ 汝今實謂如來正覺受斯食耶？	Manjusri, are you actually saying that the Tathagata in his perfect enlightenment will partake of this food?
然我定知，如來身者，即是法身，非為食身。」	For I definitely know the body of the Tathagata is none other than a body of dharma and not a body [that is sustained by] food.
爾時佛告文殊師利：「如是如是，如純陀言。	 At this point the Buddha spoke up and said to Manjusri: Just so, just so! It is just as Cunda has said.
善哉，純陀！	Excellent, Cunda!
汝已成就微妙大智，善入甚深大乘經典。」	You have already attained a wisdom great and subtle, skillfully penetrating the extremely profound Mahayana sutras.
文殊師利語純陀言：「汝謂如來是無為者，如來之身即是長壽；	Manjusri then said to Cunda: You describe the Tathagata as uncreated and the Tathagata's body as having a very long life.
若作是知，佛所悅可。」	Whenever one can produce such understanding the Buddha will be favorably disposed toward him.
純陀答言：「如來非獨悅可於我，亦復悅可一切眾生。」	Cunda answered: The Tathagata is not only favorably disposed toward me, he is favorably disposed toward all living beings.
文殊師利言：「如來於汝及以於我、一切眾生皆悉悅可。」	 Manjusri then said: You, me, and all living beings-the Tathagata is favorably disposed toward everyone. Cunda answered:
純陀答言：「汝不應言如來悅可。	You should not say the Tathagata is favorably disposed, for the very idea of him being favorably disposed is wrongheaded (viparita-samjna).
夫悅可者，則是倒想。 若有倒想，則是生死。 有生死者，即有為法。	Such false concepts are samsaric, and everything in samsara is created.
是故文殊！ 勿謂如來是有為也。	Therefore, Manjusri, do not refer to the Tathagata as created.
若言如來是有為者，我與仁者俱行顛倒。	If we allude to the Tathagata as created, then you and I are both committing acts of distortion.
文殊師利！ 如來無有愛念之想。	Manjusri, the Tathagata has no notion of affectionate love.
夫愛念者，如彼母牛愛念其子，雖復飢渴行求水草，若足、不足，忽然還歸。	By affectionate love I am referring to the way a cow loves her calf: even when she is out in search of water or grass because she is thirsty or hungry, she may suddenly return home [when she thinks of her calf] regardless of whether or not she has satisfied her own needs.
諸佛世尊無有是念，等視一切如羅睺羅。	Buddhas, world-honored ones, do not have such thoughts. They look upon all [living beings] as Rahula.
如是念者，即是諸佛智慧境界。 	It is precisely the realm of the buddhas' wisdom [and not in samsara] where thoughts such as this occur.
文殊師利！譬如國王，調御駕駟，欲令驢車而及之者，無有是處。	Manjusri, this is analogous to a team of horses specially trained by the king. Though we may want to empower our donkey cart to reach that level, it makes no sense to expect such a thing.
我與仁者亦復如是，欲盡如來微密深奧，亦無是處。	You and I are also like this. Much as we may want to see the entirety of the hidden, profound depths of the Tathagata, this is unreasonable.
文殊師利！如金翅鳥飛昇虛空無量由旬，下觀大海悉見水性魚鼈、黿鼉、龜龍之屬，及見己影，如於明鏡見諸色像。	Manjusri, it is like a garuda soaring into the sky for countless yojanas. He looks down into the ocean and sees families of water creatures such as fish, soft-shelled turtles, sea turtles, and other turtles, crocodiles, and serpents; he even sees his own reflection appearing like an obj ect in a bright mirror.
凡夫少智，不能籌量如是所見，我與仁者亦復如是，不能籌量如來智慧。」	With their limited understanding, ordinary persons cannot fathom what that bird sees. You and I are also like this: we cannot fathom the wisdom of a Tathagata.
文殊師利語純陀言：「如是如是，如汝所說。	Manjusri addressed Cunda: Just so, just so! It is just as you have explained.
我於此事，非為不達，直欲試汝諸菩薩事。」	It is not that I had not discerned this; I merely wanted to test you in the affairs of a bodhisattva.
爾時世尊從其面門出種種光，其光明曜，照文殊身。	Just then the World-Honored One emitted a variegated light from between his eyebrows, illuminating the body of Manjusri.
文殊師利遇斯光已，即知是事，尋告純陀：「如來今者現是瑞相，不久必當入於涅槃。	Upon encountering this light, Manjusri understood what it was. He then spoke to Cunda: As the Tathagata has manifested this propitious sign, he will surely be entering nirvana before too long.
汝先所設最後供養，宜時奉獻佛及大眾。	These last offerings that you have prepared must be presented to the Buddha and the assembly in a timely manner.
純陀當知，如來放是種種光明，非無因緣。」	You do understand that the Tathagata does not shine forth this type of multicolored light without a reason.
純陀聞已，情塞默然。	Upon hearing this, his emotions in check, Cunda grew quiet.
佛告純陀：「汝所奉施佛及大眾，今正是時，如來正爾當般涅槃。」	The Buddha then said to Cunda: Now is the proper time to make your offerings to the Buddha and the assembly.The Tathagata is about to assume parinirvana.
第二、第三亦復如是。	 He spoke in this manner a second and then a third time.
爾時純陀聞佛語已，舉聲啼哭，悲咽而言：「苦哉，苦哉，世間空虛。」	After hearing the Buddha speak in this way, Cunda finally cried aloud, choked with sadness: How awful, how distressing! The world will be empty!
復白大眾：「我等今者一切當共五體投地，同聲勸佛莫般涅槃。」	He then turned to the assembly and said, We should all prostrate ourselves on the ground right now and with one voice urge the Buddha not to pass into parinirvana!
爾時世尊復告純陀：「莫大啼哭，令心顦悴。	At that point the World-Honored One spoke again to Cunda: Do not carry on like that-you will harm yourself.
當觀是身，猶如芭蕉、熱時之炎、水泡、幻化、乾闥婆城、坏器、電光，亦如畫水、臨死之囚、熟果段肉，如織經盡，如碓上下，當觀諸行，猶雜毒食，有為之法，多諸過患。」	You must consider the fact that this body is like a banana tree, a mirage in hot weather, a water bubble, a hallucination, an imaginary construct, an illusory city floating in the air conjured up by gandharvas, an unfired pot, or a flash of lightning. It is like drawing something on water, a prisoner facing death, ripe fruit, or cut meat; like the warp thread running out on a loom, like the up and down motion when grinding in a mortar as well. You should ponder the fact that all compounded things are like so much poisoned food, that there is much misery in conditioned phenomena.
於是純陀復白佛言：「如來不欲久住於世，我當云何而不啼泣？	To which Cunda replied to the Buddha: The Tathagata does not wish to remain long in this world. How can I not cry?
苦哉，苦哉，世間空虛。	This is terrible, distressing! The world will be empty.
唯願世尊，憐愍我等及諸眾生，久住於世，勿般涅槃。」	All I ask, World-Honored One, is that you take pity on us here and indeed on all living beings and remain with us for some time. Do not pass into parinirvana!
佛告純陀：「汝今不應發如是言，憐愍我故，久住於世。	The Buddha said to Cunda:You should not say things like, Take pity on us and remain in the world longer. 
我以憐愍汝及一切，是故今欲入於涅槃。	I have pity for you, indeed for everyone. That is precisely why I am now about to enter nirvana.
何以故？	What is this?
諸佛法爾，有為亦然。	This is the nature of buddhas, just as it is for created phenomena as well.
是故諸佛而說偈言： 『有為之法， 其性無常。	This is why buddhas utter the verse: All created things Have natures impermanent.
生已不住， 寂滅為樂。 』	After coming into existence, they do not abide. Tranquil extinction is bliss.
純陀！汝今當觀一切行雜諸法，無我、無常、不住，此身多有無量過患，猶如水泡，是故汝今不應啼泣。」	Cunda, you should contemplate how all compounded things are mixed with the dharmas of nonself, impermanence, and nonabiding. This body, with its innumerable forms of misery, is like foam on the surface of b water. For this reason, you should not cry now.
爾時純陀復白佛言：「如是如是，誠如尊教。	Then Cunda said to the Buddha: Just so, just so. It is indeed as the Lord teaches.
雖知如來方便示現入於涅槃，而我不能不懷苦惱，覆自思惟，復生慶悅。」	Although I am aware that the Tathagata's entering into nirvana is an expression of expediency (upaya), yet I am still unable to dispel my grief. On the other hand, when I ponder the matter, I also have feelings of joy.
佛讚純陀：「善哉，善哉！	The Buddha praised Cunda: Excellent! Excellent!
能知如來示同眾生，方便涅槃。 純陀！	You have understood well that the Tathagata manifests his nirvana of expediency for all living beings.
汝今當聽，如娑羅娑鳥，春陽之月皆共集彼阿耨達池。 諸佛亦爾，皆至是處。	Cunda, listen to me now. Just as the sarasa cranes flock to Lake Anavatapta in the months of spring, so do the buddhas all come to this place.
純陀！ 汝今不應思惟諸佛長壽短壽，一切諸法皆如幻相，如來在中以方便力無所染著。 何以故？	Cunda, you must not now deliberate over whether the lives of buddhas are long or short. All conditioned dharmas are like illusory forms, and while a tathagata is among them he is using his powers of skillful means to do so but he is never tainted by them.
諸佛法爾。	Because this is the nature of buddhas.
純陀！ 我今受汝所獻供養，為欲令汝度於生死諸有流故。	Cunda, I now accept the offerings you present because I want to enable you to cross over the streams of existence that are samsara.
若諸人、天於此最後供養我者，悉皆當得不動果報，常受安樂。	If all humans and deities made offerings to me in this final moment, each of them would attain the karmic reward of imperturbability, which is to be eternally blessed with peace and happiness.
何以故？我是眾生良福田故。	Why would this happen? Because I am a most excellent field of blessing for living beings.
汝若復欲為諸眾生作福田者，速辦所施，不宜久停。」	If you also want to become a field of blessings for living beings, then quickly present your offerings; do not tarry.
爾時純陀，為諸眾生得度脫故，低頭飲淚而白佛言：	So that living beings may attain liberation, Cunda then lowered his head, swallowed his tears, and said to the Buddha:
我若堪任為福田時，則能了知如來涅槃及非涅槃。「善哉，世尊！	Excellent, World-Honored One! If I am worthy, when I become a field of merit I will be able to comprehend the Tathagata's nirvana and his nonnirvana.
